編號,菜品名稱,單位,價格
834,黃鱔,斤,1
835,墨魚滑,斤,1
836,炸魚皮(2斤/包),包,1
837,魚菁,斤,1
838,魚標,斤,1
839,大生魚(2斤以上/條),斤,1
840,中生魚(1-1.75斤/條),斤,1
841,細生魚(1斤以下/條),斤,1
842,蝦滑,斤,1
843,鯪魚,斤,1
844,肉蟹,斤,1
845,炸魚旦(2斤/包),包,1
846,魚肉燒賣(2斤/包),包,1
847,牛丸(2斤/包),包,1
848,豬肉丸(2斤/包),包,1
849,墨魚丸(2斤/包),包,1
850,炸魚片(2斤/包),包,1
851,貢丸(2斤/包),包,1
852,挪威三文魚(8-10斤/條),斤,1
853,白魚旦(2斤/包),包,1
854,花枝滑(3斤/包,包,1
855,田雞,斤,1
856,碎肉,斤,1
857,桶蠔,條,1
858,白倉魚,斤,1
859,紅衫魚,斤,1
860,倉魚,斤,1
861,沙白蜆,斤,1
862,木棉魚,斤,1
863,山班魚,斤,1
864,牙帶魚,斤,1
865,龍躉肉,斤,1
866,魚尾,斤,1
867,盲曹,斤,1
8888,湯料,斤,1
8889,伙食,次,1
8890,運費,次,1
8891,發泡膠箱,個,1
8892,其他(                                                ),,1
901,雞蛋(箱),箱,1
9011,雞蛋(排),排,1
901A,蛋白 (4斤/包) ,包,1
901W,白蛋,排,1
902,油,桶,1
903,皮蛋,隻,1
904,咸旦,隻,1
905,皮旦,箱,1
906,魚露,枝,1
907,白蛋(美國),箱,1
908,咸蛋黃,包,1
909,湖北雞蛋(箱),箱,1
9091,湖北蛋(排),排,1
909A,湖北蛋(排),排,1
910,奄春蛋,盒,1
911,咸蛋黃,隻,1
912,泰國雞蛋,箱,1
913,白米(25kg),包,1
914,涼茶,斤,1
915,赤小豆,斤,1
916,眉豆,斤,1
917,利是菜,扎,1
918,豬毑菜,斤,1
919,豬皮,斤,1
919A,水尤,斤,1
920,鴨紅,盒,1
921,意米,斤,1
922,乾雪耳,斤,1
923,青豆粒(冷藏),包,1
924,雜豆粒(急凍),包,1
925,湯圓,包,1
926,粟米粒 (冷藏),包,1
927,味噌湯,包,1
928,歐洲雞蛋,箱,1
929,雪菜粒,包,1
930,花生,斤,1
931,腰果,斤,1
932,海帶結,斤,1
933,豬大油,斤,1
934,臘腸,扎,1
935,豬肉碎,斤,1
936,黑糯米,斤,1
937,三寶切料,包,1
938,泡菜,包,1
939,水蓮,包,1
940,粽葉,張,1
941,豆腐花,盒,1
